Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
B9D2	80776	0.2367	0.02167	0.9996	0.576	0.182	0	1.111	0.9695
TMEM91	641649	0.1918	0.4448	1.105	1.919	0.03277	0.04725	0.1355	1.397
EXOSC5	56915	0.04623	0.6432	1.987	3.374	1.943	0.205	1.623	6.216
BCKDHA	593	1.642	0.5624	3.782	1.675	1.032	0.5088	3.896	5.586
B3GNT8	374907	0.1011	0.1058	0.2551	0.08203	0.02962	0.2456	0.2362	0.1874
DMAC2	55101	4.196	1.88	4.896	7.69	23.76	3.981	4.186	3.94
ERICH4	100170765	0	0	0.08137	0	0	0	0	0
LOC107985329	107985329	0	0	0	0	0	0	0	0
PCAT19	100505495	0	0	0	0	0.0952	0	0	0.03622
LINC01480	101927931	0	0	0	0	0	0	0	0
CEACAM21	90273	0	0	0	0	0	0	0	0
LOC105372404	105372404	0	0	0	0	0	0	0	0
CEACAM4	1089	0	0	0	0	0	0	0	0
LOC105372405	105372405	0	0	0	0	0	0	0	0
CEACAM7	1087	0.09627	0	0	0	0	0.1138	0	0
CEACAM5	1048	0.5798	0.3474	0.3237	0.05344	5.524	4.752	0.4388	1.169
CEACAM6	4680	0.6222	0.1172	1.829	0.7642	4.465	7.462	3.477	1.153
LOC112268252	112268252	0.02627	0.01924	0.1815	0	0.1481	0.7766	0.3738	0.08069
CEACAM3	1084	0	0	0.02116	0	0	0	0.01669	0.03762
LYPD4	147719	0	0	0.006843	0	0	0	0	0.006084
DMRTC2	63946	0	0	0	0	0	0	0	0
RPS19	6223	12.73	4.982	63.04	67.42	17.26	12.91	35.28	28.18
MIR6797	102465478	0.6408	0.4692	1.476	2.598	1.314	0	1.164	0.8747
CD79A	973	0	0	0	0	0	0	0	0
ARHGEF1	9138	0.7877	0.5871	0.9718	2.019	0.4469	1.008	1.661	0.4128
ERFL	390937	0	0	0	0.02997	0	0	0	0
LOC100505585	100505585	0	0	0	0	0	0	0	0
RABAC1	10567	0.123	0.1802	4.345	2.245	0.2522	0.7727	4.357	1.26
ATP1A3	478	0	0	0	0.1327	0.0129	0.2884	0	0
GRIK5	2901	0	0.004195	0.07916	0.144	0	0	0	0.03519
ZNF574	64763	0.6898	1.167	3.744	2.547	2.292	2.118	3.06	4.075
POU2F2	5452	0.02373	0.006952	0.01458	0.0231	0	0	0.03161	0
POU2F2-AS1	100505622	0	0	0	0	0	0	0	0
MIR4323	100422980	0	0	0	0	0	0	0	0
DEDD2	162989	0.3612	1.19	4.422	3.515	3.044	2.254	2.588	2.931
ZNF526	116115	0.1091	0.03195	1.072	0.7342	0.2124	0.2579	0.6471	0.9752
GSK3A	2931	9.889	3.222	7.047	8.814	8.213	8.019	6.761	7.32
ERF	2077	1.019	0.1947	2.358	1.964	0.06055	0.8184	0.9925	0.2721
CIC	23152	1.061	0.523	1.342	1.676	0.2496	0.3519	0.5799	0.9602
PAFAH1B3	5050	1.685	0.5484	7.647	4.92	0.6525	1.937	5.373	4.345
PRR19	284338	0	0.03184	0.1502	0.1587	0	0	0.2501	0.1039
TMEM145	284339	0	0	0	0	0	0	0	0
MEGF8	1954	0.7829	0.6643	2.124	1.32	0.2463	0.8693	1.181	0.7266
MIR8077	102465875	0	0	0	0	0	0	0.3724	0
CNFN	84518	0.9555	2.149	11.68	1.993	0.2798	25.11	3.182	6.521
LOC101930071	101930071	0	0.2314	0.2426	0.1281	0.3239	0	0.287	0
LIPE-AS1	100996307	0.04733	0.03466	0.1696	0.1152	0	0	0.04776	0.06461
LIPE	3991	0.02694	0.04604	0.2206	0.1457	0.08285	0.4247	0.2773	1.447
CXCL17	284340	1.892	3.141	2.938	8.186	68.15	36.64	38.27	13.98
CEACAM1	634	0.02574	0	0.2569	0.407	1.293	0.4279	2.073	1.52
LOC105372407	105372407	0	0	0.3331	0	0	0	0	0
CEACAM8	1088	0	0	0	0	0	0	0	0
PSG3	5671	0	0	0.05658	0	0	0	0	0
PSG8	440533	0	0	0	0.01506	0	0	0	0
PSG8-AS1	100289650	0.04926	0	0	0	0	0	0	0
PSG10P	653492	0	0	0.9149	0	0	0	0	0.01808
PSG1	5669	0	0	0.01197	0.08851	0	0	0	0
PSG6	5675	0	0	0	0.1655	0	0	0	0
PSG7	5676	0	0	0	0	0	0	0	0
PSG11	5680	0	0	0	0	0	0	0	0
PSG2	5670	0	0	0	0	0	0	0	0
LOC107985349	107985349	0	0	0	0	0	0	0	0
PSG5	5673	0	0.08528	0.1192	0	0	0	0	0
PSG4	5672	0	0.02204	0.09242	0.1098	0	0	0	0
LOC284344	284344	0	0	0	0	0	0	0	0
PSG9	5678	0.03427	0	0	0	0	0	0	0
PRG1	23574	0	0.2741	1.365	0.9107	0	0	0	0
CD177	57126	0	0.3831	0	0	0	0	0	0
TEX101	83639	0	0	0.2342	0	0	0	0	0
